name_en;name_de
Aerospace and Defense;Luft- und Raumfahrt
Agricultural Industry;Agrarwirtschaft
Associations and Societies;Vereine und Verbände
Automotive;Automobil- und Fahrzeugindustrie
Banking;Banken
Building Industry;Bauindustrie
Chemicals;Chemie
Facility Management;Gebäude- und Anlagenmanagement
Health Care;Gesundheit
High Tech;Hightech Industrie
Higher Education & Research;Erziehung und Forschung
Industrial Machinery & Components;Maschinenbau
Insurance;Versicherungen
IT Information Technology;IT Informationstechnologie
Legal Sector;Juristischer und Justizsektor
Life Sciences;Biowissenschaften und Biotechnologie
Logistics industry;Logistik
Mechanical Engineering and Construction;Stahl- und Schwerindustrie
Media;Medienbranche
Mining;Bergbau
Oil & Gas;Öl und Gas
Production Industry;Produktion
Professional Services;Dienstleistungsgewerbe
Public Sector and Government;Öffentliche Hand und Behörden
Renewable Energies;Regenerative Energien
Retail;Einzelhandel
Security & Defense;Sicherheit und Verteidigung
Sports & Entertainment;Sport und Unterhaltungg
Staffing Services;Personaldienstleistung
Telecommunications;Telekommunikation
Textile Industry;Textilbranche
Tourism;Tourismus
Transportation & Logistics;Transport und Logistik
Utilities;Energieversorgungsunternehmen
Wholesale Distribution;Großhandel